createBiciclist,2021-05-26 19:10:29.566
createSofer,2021-05-26 19:10:29.591
createRestaurant,2021-05-26 19:10:29.592
createDestinatar,2021-05-26 19:10:29.593
createBiciclist,2021-05-26 19:10:46.461
createSofer,2021-05-26 19:10:46.48
createRestaurant,2021-05-26 19:10:46.482
createBiciclist,2021-05-26 19:11:10.342
createSofer,2021-05-26 19:11:10.359
createRestaurant,2021-05-26 19:11:10.36
createDestinatar,2021-05-26 19:11:10.362
createBiciclist,2021-05-26 19:11:15.868
createSofer,2021-05-26 19:11:15.885
createRestaurant,2021-05-26 19:11:15.886
createDestinatar,2021-05-26 19:11:15.887
createBiciclist,2021-05-26 19:11:31.474
createDestinatar,2021-05-26 19:11:36.75
createComanda,2021-05-26 19:11:41.013
createComanda,2021-05-26 19:11:44.854
createComanda,2021-05-26 19:11:50.602
calculareImpozitAfacere2%,2021-05-26 19:11:50.606
afisareComenziFacuteLaLocal,2021-05-26 19:11:50.613
afisareCurieriAutorizati,2021-05-26 19:11:50.619
createBiciclist,2021-05-26 19:14:00.675
createSofer,2021-05-26 19:14:00.695
createRestaurant,2021-05-26 19:14:00.696
createDestinatar,2021-05-26 19:14:00.698
